pid,vid
91,52
122,58
616,63
84,82
768,56
350,15
21,31
414,12
555,96
813,111
467,92
309,82
644,65
689,18
34,28
552,34
383,16
327,86
577,53
167,53
479,114
376,46
728,108
321,99
753,24
441,9
652,38
289,11
758,66
540,112
432,33
823,86
444,23
99,109
525,39
232,41
183,21
1,89
103,26
345,43
670,27
521,91
44,7
658,10
403,108
785,100
318,7
273,21
93,65
625,59
536,11
127,112
168,97
39,49
599,43
635,63
269,23
384,45
535,80
285,23
763,98
486,38
385,98
667,103
358,25
691,80
0,72
3,84
344,109
347,103
455,7
172,65
520,74
382,93
11,114
507,74
200,59
395,62
24,85
115,77
503,17
495,73
235,59
608,61
567,64
266,83
353,14
710,58
15,79
40,14
185,114
400,80
671,46
259,75
394,48
36,93
274,79
554,68
464,3
184,14
777,35
357,17
677,46
496,76
679,33
100,56
227,11
281,43
340,51
475,92
323,89
82,81
142,26
664,14
568,7
140,46
393,46
356,43
335,46
120,70
797,70
484,32
198,46
429,104
485,55
28,95
96,70
124,82
517,109
61,104
425,70
416,9
524,48
365,45
296,66
598,6
149,31
463,66
566,58
396,17
194,9
205,4
158,85
619,115
595,58
678,10
220,100
620,89
377,88
676,32
298,51
351,91
435,69
265,15
581,19
663,51
366,35
814,79
452,102
362,90
283,50
173,19
803,3
102,65
442,30
474,6
516,22
612,76
2,61
286,7
697,108
643,88
284,7
89,19
126,81
86,90
410,18
145,78
674,64
709,28
773,113
712,21
706,34
178,50
109,12
238,28
210,32
744,2
380,109
639,93
790,42
705,11
59,4
725,14
299,80
128,35
141,0
505,8
409,42
189,24
154,17
779,12
693,6
196,105
818,0
131,31
315,22
407,1
53,40
745,102
631,36
329,105
629,51
634,83
422,33
421,108
26,6
302,31
148,42
246,29
390,71
179,68
487,73
606,113
219,97
514,78
361,107
592,52
156,6
25,84
579,101
415,83
460,58
371,110
794,19
617,44
694,6
722,22
669,106
632,110
287,25
805,72
199,87
38,1
815,59
655,16
618,10
695,87
531,64
177,84
665,21
692,24
551,5
23,114
478,37
58,49
248,59
646,26
391,14
14,35
591,18
29,86
251,58
314,7
711,40
276,65
812,31
601,35
488,79
791,53
160,32
509,11
553,10
389,69
562,109
71,0
630,64
368,35
683,105
240,7
642,85
174,73
633,9
576,115
534,114
720,21
221,88
332,65
502,4
397,115
277,109
402,109
804,44
43,17
125,115
75,30
704,29
723,22
603,91
733,21
470,8
192,87
262,105
430,78
213,96
760,78
254,75
436,13
445,54
458,20
539,50
761,66
762,21
316,0
233,58
51,51
236,18
379,15
328,114
557,85
245,28
792,91
726,85
95,80
288,35
216,78
264,81
556,68
738,103
367,111
250,3
574,55
687,38
228,93
778,31
151,34
144,106
702,107
65,85
680,19
526,9
247,11
372,105
116,96
759,85
230,99
137,82
661,75
799,66
512,46
798,107
708,61
73,72
300,58
165,23
515,18
783,63
378,33
690,29
718,108
737,77
611,26
459,46
446,90
222,64
600,15
682,49
564,25
628,54
104,33
388,42
448,65
331,33
816,19
548,14
772,20
614,85
242,98
133,15
146,85
570,52
513,106
519,74
270,6
267,67
67,92
560,22
559,13
621,33
412,81
253,67
681,29
239,24
129,85
609,2
731,80
546,28
801,12
42,42
114,17
4,63
793,40
55,14
33,45
672,74
756,85
653,10
317,75
85,85
355,60
9,77
584,97
809,106
703,95
346,35
268,96
508,26
375,61
736,90
334,34
590,28
741,100
157,94
715,21
97,65
561,15
645,34
354,91
304,111
79,42
214,102
542,62
324,53
800,47
181,31
820,76
543,54
363,5
243,88
582,52
258,100
123,86
472,116
161,71
333,98
119,46
217,93
275,1
306,57
399,22
465,45
8,53
550,102
224,49
700,57
530,13
6,83
701,2
282,75
493,90
787,99
188,77
32,91
506,68
802,36
602,38
699,85
369,53
153,47
483,41
654,101
476,100
437,20
523,46
63,73
657,48
742,99
12,15
686,103
187,27
537,116
563,58
411,34
72,9
624,66
18,4
586,100
707,25
593,60
336,90
466,82
381,74
605,29
518,93
615,37
20,32
342,86
101,21
578,78
477,71
424,24
511,112
49,66
423,50
206,112
404,93
52,35
257,81
573,116
311,18
462,7
37,22
106,49
640,6
132,91
716,65
673,96
490,87
398,94
392,109
169,91
313,17
780,4
497,98
575,23
191,64
698,47
660,36
136,23
291,26
717,8
130,37
734,79
636,74
810,47
207,81
118,0
641,17
757,0
339,88
811,47
110,64
610,64
596,26
776,97
456,42
159,49
749,96
